match_id,home_team,away_team,cluster
Fulham vs Chelsea,Fulham,Chelsea,0
Nottingham vs Manchester Utd,Nottingham,Manchester Utd,0
West Ham vs Arsenal,West Ham,Arsenal,0
Leeds vs Liverpool,Leeds,Liverpool,0
Arsenal vs Southampton,Arsenal,Southampton,0
Fulham vs Leeds,Fulham,Leeds,0
Leicester vs Wolves,Leicester,Wolves,0
Crystal Palace vs Everton,Crystal Palace,Everton,0
Brentford vs Aston Villa,Brentford,Aston Villa,0
Newcastle vs Tottenham,Newcastle,Tottenham,0
Manchester City vs Leicester,Manchester City,Leicester,0
Bournemouth vs West Ham,Bournemouth,West Ham,0
Aston Villa vs Fulham,Aston Villa,Fulham,0
Leeds vs Leicester,Leeds,Leicester,0
Nottingham vs Brighton,Nottingham,Brighton,0
West Ham vs Liverpool,West Ham,Liverpool,0
Chelsea vs Brentford,Chelsea,Brentford,0
Manchester City vs Arsenal,Manchester City,Arsenal,0
Southampton vs Bournemouth,Southampton,Bournemouth,0
Everton vs Newcastle,Everton,Newcastle,0
Tottenham vs Manchester Utd,Tottenham,Manchester Utd,0
Wolves vs Crystal Palace,Wolves,Crystal Palace,0
Chelsea vs Brighton,Chelsea,Brighton,0
Everton vs Fulham,Everton,Fulham,0
Southampton vs Crystal Palace,Southampton,Crystal Palace,0
Everton vs Bournemouth,Everton,Bournemouth,0
West Ham vs Southampton,West Ham,Southampton,0
Everton vs Tottenham,Everton,Tottenham,0
Leicester vs Aston Villa,Leicester,Aston Villa,0
Leeds vs Nottingham,Leeds,Nottingham,0
Bournemouth vs Brighton,Bournemouth,Brighton,0
Chelsea vs Liverpool,Chelsea,Liverpool,0
West Ham vs Newcastle,West Ham,Newcastle,0
Manchester Utd vs Brentford,Manchester Utd,Brentford,0
Aston Villa vs Nottingham,Aston Villa,Nottingham,0
Southampton vs Manchester City,Southampton,Manchester City,0
Brentford vs Newcastle,Brentford,Newcastle,0
Manchester Utd vs Everton,Manchester Utd,Everton,0
Leicester vs Bournemouth,Leicester,Bournemouth,0
Wolves vs Chelsea,Wolves,Chelsea,0
Fulham vs West Ham,Fulham,West Ham,0
Tottenham vs Brighton,Tottenham,Brighton,0
Leeds vs Crystal Palace,Leeds,Crystal Palace,0
Aston Villa vs Newcastle,Aston Villa,Newcastle,0
Wolves vs Brentford,Wolves,Brentford,0
Tottenham vs Bournemouth,Tottenham,Bournemouth,0
Brentford vs Nottingham,Brentford,Nottingham,0
Crystal Palace vs West Ham,Crystal Palace,West Ham,0
Brighton vs Wolves,Brighton,Wolves,0
Newcastle vs Southampton,Newcastle,Southampton,0
Leicester vs Liverpool,Leicester,Liverpool,0
Newcastle vs Brighton,Newcastle,Brighton,0
Nottingham vs Arsenal,Nottingham,Arsenal,0
Bournemouth vs Manchester Utd,Bournemouth,Manchester Utd,0
Tottenham vs Brentford,Tottenham,Brentford,0
Wolves vs Everton,Wolves,Everton,0
Fulham vs Crystal Palace,Fulham,Crystal Palace,0
West Ham vs Leeds,West Ham,Leeds,0
Brighton vs Southampton,Brighton,Southampton,0
Manchester City vs Chelsea,Manchester City,Chelsea,0
Newcastle vs Leicester,Newcastle,Leicester,0
Brighton vs Manchester City,Brighton,Manchester City,0
Manchester Utd vs Chelsea,Manchester Utd,Chelsea,0
Aston Villa vs Brighton,Aston Villa,Brighton,0
Brentford vs Manchester City,Brentford,Manchester City,0
Chelsea vs Newcastle,Chelsea,Newcastle,0
Crystal Palace vs Nottingham,Crystal Palace,Nottingham,0
Manchester Utd vs Fulham,Manchester Utd,Fulham,0
Leeds vs Tottenham,Leeds,Tottenham,0
Leicester vs West Ham,Leicester,West Ham,0
Southampton vs Liverpool,Southampton,Liverpool,0
Arsenal vs Brighton,Arsenal,Brighton,0
Chelsea vs Aston Villa,Chelsea,Aston Villa,0
Brentford vs West Ham,Brentford,West Ham,0
Crystal Palace vs Bournemouth,Crystal Palace,Bournemouth,0
Manchester Utd vs Aston Villa,Manchester Utd,Aston Villa,0
Fulham vs Manchester City,Fulham,Manchester City,0
Bournemouth vs Leeds,Bournemouth,Leeds,0
Leicester vs Everton,Leicester,Everton,0
Arsenal vs Chelsea,Arsenal,Chelsea,0
Manchester City vs West Ham,Manchester City,West Ham,0
Brighton vs Manchester Utd,Brighton,Manchester Utd,0
Wolves vs Aston Villa,Wolves,Aston Villa,0
Tottenham vs Crystal Palace,Tottenham,Crystal Palace,0
Manchester City vs Leeds,Manchester City,Leeds,0
Bournemouth vs Chelsea,Bournemouth,Chelsea,0
Newcastle vs Arsenal,Newcastle,Arsenal,0
West Ham vs Manchester Utd,West Ham,Manchester Utd,0
Fulham vs Leicester,Fulham,Leicester,0
Brighton vs Everton,Brighton,Everton,0
Nottingham vs Southampton,Nottingham,Southampton,0
Aston Villa vs Tottenham,Aston Villa,Tottenham,0
Chelsea vs Nottingham,Chelsea,Nottingham,0
Southampton vs Fulham,Southampton,Fulham,0
Manchester Utd vs Wolves,Manchester Utd,Wolves,0
Leeds vs Newcastle,Leeds,Newcastle,0
Everton vs Manchester City,Everton,Manchester City,0
Arsenal vs Leeds,Arsenal,Leeds,0
Newcastle vs Manchester Utd,Newcastle,Manchester Utd,0
Brighton vs Brentford,Brighton,Brentford,0
Brighton vs Bournemouth,Brighton,Bournemouth,0
Manchester Utd vs Crystal Palace,Manchester Utd,Crystal Palace,0
Wolves vs Liverpool,Wolves,Liverpool,0
Everton vs Arsenal,Everton,Arsenal,0
Nottingham vs Leeds,Nottingham,Leeds,0
Tottenham vs Manchester City,Tottenham,Manchester City,0
Manchester Utd vs Leeds,Manchester Utd,Leeds,0
Bournemouth vs Newcastle,Bournemouth,Newcastle,0
Crystal Palace vs Brighton,Crystal Palace,Brighton,0
Arsenal vs Brentford,Arsenal,Brentford,0
Leicester vs Tottenham,Leicester,Tottenham,0
Fulham vs Nottingham,Fulham,Nottingham,0
Southampton vs Wolves,Southampton,Wolves,0
West Ham vs Chelsea,West Ham,Chelsea,0
Leeds vs Manchester Utd,Leeds,Manchester Utd,0
Manchester City vs Aston Villa,Manchester City,Aston Villa,0
Arsenal vs Manchester City,Arsenal,Manchester City,0
Newcastle vs Liverpool,Newcastle,Liverpool,0
Brentford vs Crystal Palace,Brentford,Crystal Palace,0
Bournemouth vs Fulham,Bournemouth,Fulham,0
Brighton vs Fulham,Brighton,Fulham,0
Brentford vs Southampton,Brentford,Southampton,0
Nottingham vs Manchester City,Nottingham,Manchester City,0
