Team,Total_Matches,Cluster_0,Cluster_0_%,Cluster_1,Cluster_1_%,Cluster_2,Cluster_2_%,Cluster_3,Cluster_3_%,Cluster_4,Cluster_4_%
Arsenal,21,2,9.523809523809524,0,0.0,10,47.61904761904761,0,0.0,9,42.857142857142854
Crystal Palace,21,0,0.0,0,0.0,5,23.809523809523807,11,52.38095238095239,5,23.809523809523807
Chelsea,21,2,9.523809523809524,3,14.285714285714285,4,19.047619047619047,9,42.857142857142854,3,14.285714285714285
Brighton,21,0,0.0,1,4.761904761904762,10,47.61904761904761,0,0.0,10,47.61904761904761
Liverpool,21,11,52.38095238095239,0,0.0,0,0.0,0,0.0,10,47.61904761904761
Manchester City,21,10,47.61904761904761,0,0.0,0,0.0,0,0.0,11,52.38095238095239
Manchester Utd,21,1,4.761904761904762,3,14.285714285714285,11,52.38095238095239,0,0.0,6,28.57142857142857
Leeds,21,1,4.761904761904762,11,52.38095238095239,1,4.761904761904762,4,19.047619047619047,4,19.047619047619047
Brentford,20,1,5.0,7,35.0,3,15.0,7,35.0,2,10.0
Bournemouth,20,0,0.0,2,10.0,3,15.0,10,50.0,5,25.0
Aston Villa,20,2,10.0,3,15.0,1,5.0,11,55.00000000000001,3,15.0
Everton,20,1,5.0,4,20.0,3,15.0,9,45.0,3,15.0
Leicester,20,1,5.0,1,5.0,3,15.0,12,60.0,3,15.0
Fulham,20,1,5.0,11,55.00000000000001,5,25.0,1,5.0,2,10.0
Newcastle,20,1,5.0,2,10.0,5,25.0,0,0.0,12,60.0
Nottingham,20,1,5.0,1,5.0,1,5.0,12,60.0,5,25.0
Southampton,20,0,0.0,3,15.0,4,20.0,11,55.00000000000001,2,10.0
Tottenham,20,2,10.0,8,40.0,8,40.0,0,0.0,2,10.0
West Ham,20,1,5.0,1,5.0,4,20.0,10,50.0,4,20.0
Wolves,20,2,10.0,3,15.0,5,25.0,9,45.0,1,5.0
